date,cap_30_89,cap_90_1y,comercial_total,consumo_total,imacec,ipc,tpm,vivienda_uf,bcp_2y,bcp_5y,bcu_10y,bcu_5y,bcp_10y,comercial_cuotas,comercial_sobregiro,consumo_cuotas,consumo_tarj_cuota,consumo_tarj_rot
2002-01-01,0.4740909090909091,0.5154545454545455,9.01662514544861,31.030626256863396,52.38684273346299,45.514365579999996,6,7.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-01,0.4465,0.47900000000000004,8.679110088155419,30.926110478141293,49.572388645635,45.51710638,5.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-01,0.3805,0.41250000000000003,8.07863257099312,26.0050233289108,55.496862230513,45.756218710000006,4.75,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-01,0.3628571428571428,0.39333333333333337,8.83271372970819,27.978527807546893,54.831662879903995,45.92913518000001,4.75,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-01,0.324,0.3565,7.36696133921772,29.3015069838025,53.95949546983399,45.97045359,4,6.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-01,0.315,0.345,7.393533147796499,28.878514368939197,52.591305977677,45.911944389999995,4,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-07-01,0.2682608695652174,0.2952173913043478,7.259828499567551,27.969498815730397,51.574149311361,46.11471881000001,3.25,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-08-01,0.22666666666666668,0.24952380952380954,6.479949301298961,27.417292281966294,52.645300668426,46.291905940000014,3,6.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-09-01,0.21789473684210528,0.24526315789473685,6.1719180965621305,25.8531059072752,51.486675858879,46.682974740000006,3,6.17,4.117515361445784,5.847286363636364,3.5469,2.52823476923077,NA,NA,NA,NA,NA,NA
2002-10-01,0.2282608695652174,0.25869565217391305,6.187982046513259,23.3991846423589,55.58545708624799,47.09448311,3,5.63,4.458693102832127,6.3560486300300205,3.868675,2.8445,NA,NA,NA,NA,NA,NA
2002-11-01,0.2285,0.2595,6.2207250066215,24.479850115432203,56.19572686576,47.05487879,3,5.05,3.9828452891722472,5.982820553695733,3.961688888888889,3.077472222222222,NA,NA,NA,NA,NA,NA
2002-12-01,0.2275,0.2605,6.136756971307549,26.030615281174796,58.46504834809501,46.8488481,3,4.99,3.949962587628491,5.62716159554731,4.055199999999999,3.2653333333333334,NA,NA,NA,NA,NA,NA
2003-01-01,0.21727272727272728,0.26,5.93665417752501,28.577047085661196,54.900606275459,46.89098487,2.75,5.6,4.075809910391622,5.797536796536796,3.9021023041474656,2.769285714285714,NA,NA,NA,NA,NA,NA
2003-02-01,0.2123809523809524,0.2625,5.838474368235908,28.9304241184608,52.48618405384999,47.26133603000001,2.75,5.84,4.161890141516643,5.7764999999999995,3.941028409090909,2.745168188679245,NA,NA,NA,NA,NA,NA
2003-03-01,0.21190476190476193,0.25666666666666665,6.021900862797609,25.591776979809598,58.467205606835,47.81284966999999,2.75,5.64,4.2754936114014646,5.83725,3.788541968998136,2.473427777777778,NA,NA,NA,NA,NA,NA
2003-04-01,0.21142857142857144,0.2557142857142857,5.924595445786889,27.3376074953178,57.43015599345501,47.766960250000004,2.75,4.74,4.041953882019935,5.669393241167435,3.851693448275862,2.7121226045883944,NA,NA,NA,NA,NA,NA
2003-05-01,0.2245,0.2745,6.013486123275349,27.3789475111905,56.898668669086994,47.58262211,2.75,5.37,4.063932624113475,5.75384,3.9144561616108997,2.939251104218362,NA,NA,NA,NA,NA,NA
2003-06-01,0.23190476190476192,0.2761904761904762,5.8491107818184,26.7396646965992,55.359901669112986,47.58253254000001,2.75,5.24,4.055321979776477,5.789525583625818,3.860659522842536,2.850301720144468,NA,NA,NA,NA,NA,NA
2003-07-01,0.23608695652173914,0.2821739130434783,5.6316272274696,26.655357934246403,54.18475146831799,47.54107208,2.75,5.2,5.864285714285714,5.980997402597403,3.9022637138351017,2.769645080969463,NA,NA,NA,NA,NA,NA
2003-08-01,0.23550000000000001,0.28500000000000003,5.7619530687841705,26.393194628091802,54.948693368022,47.61990066,2.75,4.91,5.014566666666667,6.077996126896127,3.9187402443786925,2.6999522437317354,NA,NA,NA,NA,NA,NA
2003-09-01,0.2325,0.28900000000000003,5.616898662677049,25.634104496130405,53.72211335704701,47.71022368,2.75,4.51,4.507429783163265,6.2523077905835205,4.2206875,3.002177549146459,NA,NA,NA,NA,NA,NA
2003-10-01,0.23086956521739133,0.2808695652173913,5.66609164819467,25.586665660393898,57.956402117919,47.63677004000001,2.75,4.63,4.182745107147281,5.883635535693847,4.080703678929766,3.1031248188405796,NA,NA,NA,NA,NA,NA
2003-11-01,0.229,0.2675,5.5822585222405605,26.7241156336288,58.266846088052,47.48923964,2.75,4.7700000000000005,3.5149573529411766,4.983201760543018,4.076339330694975,3.1569973039215675,NA,NA,NA,NA,NA,NA
2003-12-01,0.21100000000000002,0.248,5.500419600847049,25.238596757557698,60.624443844482,47.33825522000001,2.25,4.87,3.2558850727816253,4.598830869488361,4.298955986842105,3.2435210914564463,NA,NA,NA,NA,NA,NA
2004-01-01,0.16523809523809524,0.20761904761904762,6.107525472925269,25.1283072687516,56.95508419665699,47.25056575,1.75,4.99,2.9936201852920545,4.280653953669695,3.9846190476190473,2.963249594460592,NA,NA,NA,NA,NA,NA
2004-02-01,0.1405,0.1785,6.40767395650297,24.0644030660364,54.85665020271399,47.25633433000001,1.75,4.88,2.8683461966611623,4.243154961133811,3.8111349999999997,2.650652566667799,NA,NA,NA,NA,NA,NA
2004-03-01,0.14130434782608697,0.1682608695652174,6.943765162676541,21.074328980612602,61.862995629042,47.453597079999994,1.75,4.819999999999999,2.7121346493419956,4.1274474280956115,3.5310786293797736,2.3379484444472833,NA,NA,NA,NA,NA,NA
2004-04-01,0.14333333333333334,0.16952380952380952,6.63781168001208,22.850650731727498,60.637087338803,47.62558563000001,1.75,3.9899999999999998,2.7652380952380953,4.313570344157239,3.801288283658787,2.4763331359532033,NA,NA,NA,NA,NA,NA
2004-05-01,0.14400000000000002,0.1745,6.957271773254151,23.6838925222938,60.085063570148996,47.878162610000004,1.75,3.24,2.9823967010187156,4.677121770901183,3.744061471422054,2.209043455607096,NA,NA,NA,NA,NA,NA
2004-06-01,0.14550000000000002,0.186,7.251173654000101,24.202483071218797,58.54186924434299,48.08488723999999,1.75,3.2600000000000002,3.075279763066413,4.380842744035234,3.8035626477146045,2.3679880824963253,NA,NA,NA,NA,NA,NA
2004-07-01,0.14727272727272728,0.1890909090909091,6.93135681855289,23.5394367165566,57.99110585077901,48.19610035000001,1.75,3.3299999999999996,3.1150350899488424,4.646921830904066,3.6660278093516756,2.3413592330741704,6.4318,NA,NA,NA,NA,NA
2004-08-01,0.1431818181818182,0.18363636363636363,6.97216224426955,23.216214906254002,59.147606140564,48.37971246,1.75,3.4699999999999998,3.1375860406986877,4.876024381024381,3.1685042780748662,1.990932206922774,6.305195534929287,NA,NA,NA,NA,NA
2004-09-01,0.16,0.19904761904761906,6.469533122991801,22.861507698062198,57.83375553724299,48.407721669999994,2,3.58,3.46287558335234,4.9699892871999936,3.275639682539682,2.2732207387813372,6.180492852891347,NA,NA,NA,NA,NA
2004-10-01,0.171,0.21750000000000003,6.518156635672949,22.9466774132023,62.943605435077,48.54807851,2,3.54,4.201241106316204,5.47835307523163,3.2538836842105265,2.3641457936507932,6.568444642857142,NA,NA,NA,NA,NA
2004-11-01,0.19,0.22571428571428573,7.04053758551161,23.477055512909,63.373358052551005,48.66840218000001,2.25,3.61,4.0718126297821415,5.101400354676272,3.2121666666666666,2.437363703537841,6.190103113554774,NA,NA,NA,NA,NA
2004-12-01,0.22714285714285715,0.27666666666666667,7.113268429346,23.400927865954,66.085423779699,48.48432672,2.25,3.94,4.116437708496395,4.8592402731307285,3.2602454081632652,2.5642377681249267,6.005717141277089,NA,NA,NA,NA,NA
2005-01-01,0.23238095238095238,0.2880952380952381,7.390236142823521,24.986031757624097,60.997060204058,48.33156408999999,2.5,4.04,3.9903059755219576,4.892319597243921,3.156423888888888,2.497073436448773,5.971417540632633,NA,NA,NA,NA,NA
2005-02-01,0.24200000000000002,0.295,7.857201195596801,26.287222915963792,58.26891970198801,48.287271940000004,2.75,4.28,4.121654366906431,4.907047342931697,2.9045422257347915,2.2724650133153936,5.9146708374384245,NA,NA,NA,NA,NA
2005-03-01,0.2509090909090909,0.3113636363636364,8.19158046328748,23.615629008784598,65.160412346315,48.594317800000006,2.75,4.3,4.5502730463681464,5.136151970093433,2.8051323182387,2.1396583598217958,6.035297956790173,NA,NA,NA,NA,NA
2005-04-01,0.27952380952380956,0.3280952380952381,8.192430171044412,25.3299762540978,64.37545096138,49.03075468,3,4.35,4.622210813557625,5.389838888575559,2.6309410020466415,2.0751387704573685,6.086962543557007,NA,NA,NA,NA,NA
2005-05-01,0.3295238095238095,0.3919047619047619,8.808622539444363,26.1973593839363,63.30028316944799,49.16302022000001,3.25,4.430000000000001,4.722706626063303,5.30611137266149,2.3925396001007284,2.084497378847379,5.878546733048363,NA,NA,NA,NA,NA
2005-06-01,0.3333333333333333,0.37238095238095237,8.739999747007069,26.613793636474,62.240974281921005,49.36402821,3.25,4.44,4.689661197513123,5.1387863984373885,2.3330429674548423,1.968823393339716,5.693606586277964,NA,NA,NA,NA,NA
2005-07-01,0.32,0.36857142857142855,9.18402803525509,26.314127717186803,60.627780191039996,49.668388490000005,3.5,4.38,4.773580938362972,5.325941069500371,2.395678588102531,1.9553454043587366,5.804016599008568,NA,NA,NA,NA,NA
2005-08-01,0.31363636363636366,0.36727272727272725,9.357578065327651,26.3808042050356,63.15519641926199,49.81339729,3.75,4.359999999999999,4.908553167022288,5.422676198358114,2.20442391308362,1.8225912375352922,5.781149429344378,NA,NA,NA,NA,NA
2005-09-01,0.33285714285714285,0.3819047619047619,9.052156377093322,26.324558732114003,61.204357372753,50.32574436,4,4.25,5.056661430162527,5.515597789115646,2.2625794444444445,1.8655130689392498,5.8470425284251535,NA,NA,NA,NA,NA
2005-10-01,0.368,0.42200000000000004,9.456733171987493,24.779097877110996,65.63050270845298,50.56437102,4.25,4.2700000000000005,5.576076720315378,6.039828653606965,2.99147,2.656828007518797,6.242425,NA,NA,NA,NA,NA
2005-11-01,0.4147619047619048,0.4838095238095238,9.90783807383627,25.1644414645156,66.99599793774,50.44305604,4.5,4.63,5.8533333333333335,6.233704761904762,3.3491666666666666,3.3349333333333333,6.5261605365526485,NA,NA,NA,NA,NA
2005-12-01,0.4480952380952381,0.5071428571428571,10.139589410765801,25.750929963903797,70.401704127295,50.26202732000001,4.5,5.02,5.86042034841145,6.038390882968833,3.262809523809524,3.1657251760248974,6.302380952380952,NA,NA,NA,NA,NA
2006-01-01,0.4122727272727273,0.45590909090909093,10.2731725726366,26.8401055113455,64.269602795469,50.30384614999999,4.5,5.31,5.712504655515923,6.04399788703552,3.0071304975750923,2.855532637527589,6.194827272727273,NA,NA,NA,NA,NA
2006-02-01,0.3815,0.43100000000000005,10.691751655694699,28.080010671663995,62.488110171123004,50.25661222000001,4.75,5.33,5.80927959612581,6.017237924893534,2.952521674902606,2.693483638195746,6.258,NA,NA,NA,NA,NA
2006-03-01,0.38565217391304346,0.4439130434782609,10.242012151611497,25.220629902156894,68.647650118138,50.55118236,4.75,5.22,5.8450517203230445,6.002382917491598,3.007823188405797,2.775291736879747,6.2989304347826085,NA,NA,NA,NA,NA
2006-04-01,0.3973684210526316,0.45842105263157895,10.696334221909902,26.8123812500882,67.63532098746398,50.878435780000004,5,5.04,5.914633076750848,6.039593196519607,3.0094947368421052,2.718511349976228,6.307368421052631,NA,NA,NA,NA,NA
2006-05-01,0.4140909090909091,0.46272727272727276,10.699763036027301,27.499685252451297,67.86406609835701,51.001610459999995,5,5.03,5.962680510394154,6.110512249326293,3.2334545454545456,2.982011288910762,6.319545454545454,NA,NA,NA,NA,NA
2006-06-01,0.41750000000000004,0.454,10.0914888005923,27.540614539592294,66.44641349268801,51.301702569999996,5,5,6.0673024768075114,6.23763565501994,3.3015,3.1661263821138212,6.444459125,NA,NA,NA,NA,NA
2006-07-01,0.4204761904761905,0.45666666666666667,9.956696994081172,27.283235773047796,64.332903078673,51.58288656999999,5.25,5.1,6.160649189054153,6.345496430475156,3.239995238095238,3.051106102719752,6.548571428571428,NA,NA,NA,NA,NA
2006-08-01,0.42454545454545456,0.465,10.308394808512,26.6396101782853,65.94827348854102,51.713436740000006,5.25,5.05,6.007859878907014,6.167133322172191,3.1169454545454545,3.002845717622044,6.347727272727273,NA,NA,NA,NA,NA
2006-09-01,0.4273684210526316,0.4615789473684211,10.345094933528102,26.5372798000456,65.113551695834,51.72378355,5.25,5.01,5.720869679105317,5.961947368421052,3.0683603832548516,3.0706715078288243,6.019959708126819,NA,NA,NA,NA,NA
2006-10-01,0.42809523809523814,0.46476190476190476,10.3284256051627,26.8742664376268,70.480971763766,51.58824395,5.25,4.95,5.534151227506771,5.745617070357555,2.945938826493974,2.9517726133515603,5.869618122164723,NA,NA,NA,NA,NA
2006-11-01,0.4252380952380953,0.4580952380952381,10.1694224697128,26.970837734170996,70.667382582297,51.498484940000004,5.25,4.819999999999999,5.4747619047619045,5.569999999999999,2.7331809523809523,2.78179483432376,5.600310052821705,NA,NA,NA,NA,NA
2006-12-01,0.4405263157894737,0.4715789473684211,10.246215629482798,27.0849800029482,74.58702089295599,51.546939970000004,5.25,4.7700000000000005,5.5063157894736845,5.557607655502392,2.6741203007518797,2.663967611336033,5.607515789473684,NA,NA,NA,NA,NA
2007-01-01,0.42045454545454547,0.44636363636363635,10.0813509695242,27.904564651345098,67.845191279381,51.70655492000001,5,4.68,5.258234765587395,5.366183871704841,2.6890202702702704,2.6504545454545454,5.493899111616706,NA,NA,NA,NA,NA
2007-02-01,0.41550000000000004,0.4465,9.9487011377283,28.6820361681984,65.116565114977,51.61558096,5,4.58,5.1655,5.335993298750469,2.767260344827586,2.7115,5.519026208642127,NA,NA,NA,NA,NA
2007-03-01,0.42000000000000004,0.44545454545454544,9.81896619104334,26.98843783535159,73.24421919087902,51.83646494999999,5,4.56,5.092263355201499,5.297212768566175,2.647686575052854,2.5854545454545454,5.502494875673826,NA,NA,NA,NA,NA
2007-04-01,0.42250000000000004,0.4515,9.949041120963109,27.7373905815526,71.488095617641,52.135471380000006,5,4.54,5.15274392262323,5.34283257423544,2.6380036842105263,2.4921050051599583,5.6329199999999995,NA,NA,NA,NA,NA
2007-05-01,0.42952380952380953,0.4680952380952381,10.0292543637794,27.886722153152498,71.44079870279599,52.45955557,5,4.39,5.52406162464986,5.740323041430969,2.9466142857142854,2.7946814123426185,6.0720825396825395,NA,NA,NA,NA,NA
2007-06-01,0.44666666666666666,0.4747619047619048,9.82491665142553,27.943047856156497,70.07298634522598,52.95063164,5,4.42,5.835936849630651,6.074452651159023,3.207895238095238,2.9461908692771046,6.4879017857142856,NA,NA,NA,NA,NA
2007-07-01,0.451,0.49,9.985638791564462,28.854555981382802,66.80558838719199,53.54469603,5.25,4.51,6.070568421052632,6.235934394730399,3.17655,2.8223274789040267,6.531067428571428,NA,NA,NA,NA,NA
2007-08-01,0.4645454545454546,0.5040909090909091,9.911397132675118,27.59263685056139,69.29782304721704,54.116268559999995,5.5,4.6899999999999995,6.250210849903296,6.332849341471249,3.103143636363636,2.8983781538842823,6.447177272727273,NA,NA,NA,NA,NA
2007-09-01,0.4864705882352941,0.5335294117647059,10.126112936643201,28.888644870074792,68.79838091988098,54.722550620000014,5.75,4.79,6.191162511516235,6.270588235294118,2.957292041522491,2.7513357739907995,6.3683602713901575,NA,NA,NA,NA,NA
2007-10-01,0.48954545454545456,0.5331818181818182,10.150835175765001,29.010985038932102,73.41599774471202,54.88884245999999,5.75,4.83,6.184372818470717,6.258726536621274,3.0015636363636364,2.825939558107529,6.353480697384807,NA,NA,NA,NA,NA
2007-11-01,0.49142857142857144,0.5304761904761905,10.1663921671149,28.918278266454802,74.134087787802,55.30554276,5.75,4.81,6.102835303639754,6.168095238095238,2.894257080610022,2.8213857142857144,6.222878244188671,NA,NA,NA,NA,NA
2007-12-01,0.5405263157894737,0.5700000000000001,10.2075944626231,29.956424397723396,78.60571238765698,55.559527689999996,6,4.83,6.204546481274653,6.3018190212373035,3.0226315789473683,2.941919636908727,6.363152631578948,NA,NA,NA,NA,NA
2008-01-01,0.5272727272727273,0.5595454545454546,10.546072555411,32.0629770858347,72.021359084329,55.54321949,6.25,4.8,6.486568711928577,6.506498469923201,3.0249047572093413,2.937173442491243,6.554090909090909,NA,NA,NA,NA,NA
2008-02-01,0.5176190476190476,0.550952380952381,10.524295863458699,31.96068943193909,69.92122042109303,55.76208441,6.25,4.9,6.364917877821103,6.350477378644906,2.81432771676435,2.718232147967852,6.343809523809524,NA,NA,NA,NA,NA
2008-03-01,0.5419047619047619,0.5776190476190476,10.6081632164383,29.875170803785696,76.84472844791301,56.22245779000001,6.25,4.819999999999999,6.545999999999999,6.533801670419418,2.6740836806408765,2.3512363305722594,6.5325,NA,NA,NA,NA,NA
2008-04-01,0.5404545454545455,0.5822727272727273,10.5928774028593,30.126329719934198,75.05353197498398,56.42460235,6.25,4.76,6.546702785430059,6.5214191919191915,2.6978985553727393,2.3402271827546786,6.5406008973058265,NA,NA,NA,NA,NA
2008-05-01,0.547,0.5795,10.679569614695302,30.932486904998797,74.87105532644699,57.076518340000014,6.25,4.63,6.899681815290634,6.958579928792138,3.1700066708908645,2.8038527219297307,7.017644679126694,NA,NA,NA,NA,NA
2008-06-01,0.5604761904761906,0.6085714285714285,10.876301272723202,30.744248148501697,73.741646042606,57.92462275,6.75,4.72,7.537346721359866,7.560013351849134,3.4216259996434917,2.861003829512236,7.567278918104828,NA,NA,NA,NA,NA
2008-07-01,0.5727272727272728,0.6277272727272727,11.428753715123399,31.240313742673894,71.17561437682897,58.58077708,7.25,4.87,8.048639964746497,7.797964850121902,3.3853038774978703,2.9127493002155767,7.804599371908388,NA,NA,NA,NA,NA
2008-08-01,0.6164999999999999,0.6819999999999999,11.872771857100902,32.0145710909388,70.78654791299599,59.12693863000001,7.75,4.819999999999999,8.382579172944707,8.03551413133832,3.4007109472778696,2.953555827932169,7.888930249691555,NA,NA,NA,NA,NA
2008-09-01,0.703,0.78,12.804720313383301,34.024364909569805,70.220106541471,59.75523484000001,8.25,4.8,8.598,7.767917695801131,3.3980163853511853,3.1862162315911187,7.6537146209379,NA,NA,NA,NA,NA
2008-10-01,0.7439130434782608,0.8465217391304348,15.148505762149698,35.76089780252531,75.25192537809201,60.28338077,8.25,5.34,7.303260916984651,6.838953217432616,3.1786173757149956,3.1985043900198087,6.82243621887465,NA,NA,NA,NA,NA
2008-11-01,0.6719999999999999,0.738,15.128786233759701,36.0718420361127,74.10555369867701,60.20951295000001,8.25,5.6899999999999995,6.775703152997952,6.5915,3.281737916101535,3.4443665089666853,6.532445261595557,NA,NA,NA,NA,NA
2008-12-01,0.6915,0.724,14.910910610780201,36.85158168141298,78.49205498569302,59.499634990000004,8.25,5.7700000000000005,6.525038623188878,6.0985045471111645,3.2021284472088634,3.4667629333153234,6.083062051643482,NA,NA,NA,NA,NA
2009-01-01,0.579047619047619,0.5671428571428572,13.5112458646691,36.33417145195999,71.01296947012702,59.0458628,7.25,5.92,5.7340033775194215,5.50543667847643,2.92099306527495,3.1892925592900943,5.571221596898103,NA,NA,NA,NA,NA
2009-02-01,0.43,0.4095,12.2157947060754,36.1897767949574,67.35317472083,58.279085370000004,4.75,5.53,3.9073165448883627,4.3510729079918775,2.4474980434256075,2.1391252957571485,4.844531842265052,NA,NA,NA,NA,NA
2009-03-01,0.24045454545454545,0.25,10.0588162851225,32.2310900560189,75.47801242437001,58.30203791,2.25,4.9,2.746253843660906,4.0753005807942255,2.4016208684640166,1.6686826486646027,4.8865361383572825,NA,NA,NA,NA,NA
2009-04-01,0.19,0.2061904761904762,8.766351446674308,29.9749702923983,73.30101902422301,58.21222299000001,1.75,4.42,2.4927935441239555,4.4451627702449565,2.617846797174188,1.8096725262473032,5.44083944275636,NA,NA,NA,NA,NA
2009-05-01,0.13263157894736843,0.15789473684210528,8.071368333942859,29.5665870190954,72.779489795381,58.087574569999994,1.25,4.4556453691489795,2.3619942264609928,4.476340273763,3.0194687619461456,2.60578947368421,5.687311867173024,NA,NA,NA,NA,NA
2009-06-01,0.11,0.13904761904761906,7.984518348795669,28.9061914956599,71.269542073,58.28249465,0.75,4.609999999999999,2.680395142255003,4.833721142475513,3.0279691859274402,2.584947235402291,5.890075838871513,NA,NA,NA,NA,NA
2009-07-01,0.06681818181818182,0.11181818181818182,7.240847234369831,27.909352390439896,68.749135142568,58.03256151,0.5,4.619999999999999,2.203239015464024,4.639232137415644,2.8665861592669453,2.482895308366983,5.745703031120466,NA,NA,NA,NA,NA
2009-08-01,0.0425,0.0645,5.987396698687601,24.573743511369393,71.48867215327098,57.76538133000001,0.5,4.56,1.4543584658650004,4.392366612688247,2.9395072909105915,2.5548038235355692,5.608758641359601,NA,NA,NA,NA,NA
2009-09-01,0.05095238095238095,0.09047619047619047,5.7749809206789084,26.523264242632898,70.422142442318,58.42214034000001,0.5,4.49,2.2013656900718472,4.912328940370621,2.8653699479094397,2.1788972770732635,5.8527974381504615,NA,NA,NA,NA,NA
2009-10-01,0.05333333333333334,0.10285714285714286,5.61346545378225,26.667814255904602,75.06519075309399,58.417743279999996,0.5,4.35,2.922186822850997,5.174428253885485,2.8635816648048817,2.2068615263303872,5.98050903613056,NA,NA,NA,NA,NA
2009-11-01,0.05047619047619048,0.11904761904761905,5.247571938847309,27.258339937912595,76.25312020195801,58.18649888,0.5,4.28,3.010341553287982,5.388031601443514,3.187144440733475,2.6450203333228868,6.164408452839621,NA,NA,NA,NA,NA
2009-12-01,0.058499999999999996,0.12100000000000001,4.739766636124211,26.556523975162094,79.446361235564,57.965702480000004,0.5,4.541432542088,2.8446915436214963,5.362649238883026,3.2873516899663002,2.856010778287567,6.3108499785283705,NA,NA,NA,NA,NA
2010-01-01,0.0485,0.097,7.040624886705749,30.3539149645281,72.47864702852598,58.26611009000001,0.5,4.58383099847222,3.2209725628268044,5.317501186048244,3.1875449975224726,2.608448350820785,6.389002565400107,NA,NA,NA,NA,NA
2010-02-01,0.047,0.1315,5.6279494904808605,29.546125999726197,69.784255933159,58.42983636,0.5,4.602983965524699,3.7302054228765233,5.394860696779419,3.1079015448684864,2.230081203795569,6.3957443526046,NA,NA,NA,NA,NA
2010-03-01,0.052173913043478265,0.1082608695652174,5.420358691920961,27.98245903196259,75.71406139248299,58.47896616,0.5,4.27558551498422,3.5431191308993912,5.456893318829604,3.121668646349217,2.1245913221440045,6.467190494662623,NA,NA,NA,NA,NA
2010-04-01,0.05380952380952381,0.09714285714285714,5.444336526418559,27.308355461376802,77.83615367934603,58.74925575,0.5,4.12752778433854,3.7144244272981783,5.659028093574879,3.1177438387827787,2.267604144351206,6.472571337480377,NA,NA,NA,NA,NA
